symbol,name,thesis_version,catalyst,category,expected_window,source_status,latest_status,impact,next_evidence_source,update_sla_business_days,owner_role,automatic_state_mutation,authority,trade_authority,catalyst_id,semantic_hash
300308.SZ,中际旭创,FMDL4D-TV1-20260717,continued hyperscaler AI capex,INDUSTRY_AND_PRODUCT_DEMAND,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-300308.SZ-01-83dac0b6e9b5,83dac0b6e9b5c5df549b2c35db23b960318ddb5adcd19aecdb2abf768855c2fe
300308.SZ,中际旭创,FMDL4D-TV1-20260717,higher-speed product ramp,COMPANY_EVENT,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-300308.SZ-02-bd6eb75a7af0,bd6eb75a7af0eff41e410bdef7de8d212d178a873b7f93a572e7ad4432372ee5
300308.SZ,中际旭创,FMDL4D-TV1-20260717,operating leverage,EARNINGS_AND_CASH,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-300308.SZ-03-185f973a9a6e,185f973a9a6e1fdff2ef54563f58f30897b8961a4c9dc47eec283620f688893f
600018.SH,上港集团,FMDL4D-TV1-20260717,throughput growth,OPERATING_KPI,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-600018.SH-01-e17c39abd998,e17c39abd998fd1b1d405553646c9e328528a1fdb720eaea96a421db1b57a77a
600018.SH,上港集团,FMDL4D-TV1-20260717,service-mix improvement,COMPANY_EVENT,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-600018.SH-02-70ada0ae43e2,70ada0ae43e28f7d4af97532760a0ff1f4e98ffbaa0274567d244eccecf25412
600018.SH,上港集团,FMDL4D-TV1-20260717,capital return,CAPITAL_RETURN,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-600018.SH-03-91584eff4adb,91584eff4adbdbaf35dac254d9a0227917d940fa209c1bd61184e9e6e70ac275
600018.SH,上港集团,FMDL4D-TV1-20260717,asset monetization,CAPITAL_RETURN,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-600018.SH-04-9be04ef959d5,9be04ef959d50e8825946f6ff7b48490af8ec6323a857e774cca9e50e4595b00
600900.SH,长江电力,FMDL4D-TV1-20260717,normal-to-strong water inflows,OPERATING_KPI,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-600900.SH-01-b4415fe04361,b4415fe04361af1efd29332fa81d736fdf78647f8fbe9a289a6daa5a3df2f915
600900.SH,长江电力,FMDL4D-TV1-20260717,operating leverage from generation recovery,EARNINGS_AND_CASH,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-600900.SH-02-c870a361766b,c870a361766b8ecff6c7c73ec16dd88216579f617ec54ef311e4d91806fb9ae3
600900.SH,长江电力,FMDL4D-TV1-20260717,continued high cash distributions,CAPITAL_RETURN,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-600900.SH-03-545b9b45a3a6,545b9b45a3a67c9d319fbe24899e861f0969832f0f9af5be497fa65b976d15b6
