conflict_id,priority,domain,rule_or_source_a,rule_or_source_b,conflict_description,risk,resolution_route,wp1_5b_status,resolution_evidence
CF-011,P0,运营节奏,14仅日/周/月和60日观察,FMDL7D有六类Cadence但定时只构建控制artifact,标准与真实生产脱节,统一Operating Product与publication链,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-012,P0,事件驱动,用户明确要求事件驱动,Active Kernel没有事件标准和Schema,事件只能零散写入风险清单,新增60_EVENT_DRIVEN,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-013,P1,执行授权术语,trade_authority=NONE,permission允许EXECUTION_AUTHORIZED,可能误解为系统具备下单权限,改名或明确定义手动用户授权,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-014,P1,市场边界,R8 Core仅FMDL1/FMDL4,GitHub已完成FMDL5-7和三市场非对称边界,Canonical无法完整恢复市场能力,引入Market Capability Registry,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-015,P1,数据刷新,12仍是P2B shortlist refresh,FMDL已是全市场、港股Overlay和美股Adapter,Active刷新规则过期,替换为多域刷新标准,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-016,P1,文件引用,103/104等历史规则引用多个已改名或不存在文件,Archive规则若直接恢复会断链,不能原样晋级,按语义重写而非复制旧文件,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-017,P1,配置表达,target_allocation要求point target,实际需要区间、条件方案和现金排除,Schema无法表达现政策,重写Allocation Policy Schema,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-018,P1,研究工具依赖,15绑定具体plugin workflow名称,工具可用性会变化,Canonical不应依赖单一插件,采用能力型执行器注册,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-019,P1,规则校准,13允许有损失机制即校准,17/107要求多观察、回归和人工批准,门槛不一致,统一多案例受控升级,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-020,P1,引擎复制,CORE内嵌引擎与独立Production Engine字节相同,两份都可被误认为权威,维护风险,只保留单一权威引擎,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-021,P1,README状态,Production Engine README仍指向P4 v3.4包,Release 8已是POST-FMDL4 v3.5并且FMDL7已完成,运行说明陈旧,重写恢复入口,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-022,P1,File Library状态,Handoff称R9为File Library Canonical,Pointer/START_HERE/GitHub写明待上传验证,激活口径冲突,WP1-5统一,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
