capability_id,priority,capability,required_definition,current_gap,target_layer,planned_resolution,wp1_5b_status,landing
MC-014,P0,FMDL5-7消费接口,港股Overlay、美股Adapter、FMDL7治理进入CORE/Engine,仅GitHub保存,40_MARKET_BINDINGS,WP1-3/5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-015,P1,Quarterly Research Review,财报、ROIC、现金流、资本配置、估值和Thesis复核,Active缺失,50_OPERATIONS,WP6,INTERFACE_OR_RULE_LANDING_COMPLETE_DOWNSTREAM_EXECUTION_PENDING,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-016,P1,Annual Strategy Review,规则有效性、误选漏选、换手、成本、数据源和系统升级,Active缺失,50_OPERATIONS,WP6,INTERFACE_OR_RULE_LANDING_COMPLETE_DOWNSTREAM_EXECUTION_PENDING,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-017,P1,Operating Product Contract,日报、周报、月报、季报、年报和事件产品的输入/输出/晋级,FMDL7D只有控制面,50_OPERATIONS,WP1-5/WP6,INTERFACE_OR_RULE_LANDING_COMPLETE_DOWNSTREAM_EXECUTION_PENDING,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-018,P1,Cross-market Exposure,A/H、重复ETF、行业、因子和宏观变量穿透,仅有个案检查,70_DECISION,WP1-5/WP5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-019,P1,Master Plan恢复入口,工作包、步骤、状态和变更登记纳入Canonical,本轮外部已建立,00_CONTROL,WP1-5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-020,P1,Decision Object扩展,估值区间、下行情景、组合适配、Thesis、Falsifier、事件影响和置信度,当前schema缺失,01_SCHEMAS,WP1-5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-021,P1,Rule Proposal Schema,提案证据、案例、回放、影响、批准、版本和复验,现schema只有4个字段,01_SCHEMAS/90_GOVERNANCE,WP1-5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-022,P1,配置Policy有效期与区间,目标范围、无目标、观察状态、现金排除、批准日期,point target schema不足,01_SCHEMAS,WP1-5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-023,P1,Tool-agnostic Research Routing,能力型工作流与可替换执行器,当前绑定特定插件名称,20_RESEARCH,WP1-5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
MC-024,P2,依赖与环境锁定,Python版本、依赖锁文件、无pyc发布,当前只存源码/pyc，无依赖锁,20_ENGINE,WP1-5,RESOLVED_IN_WP1_5B,CORE_STATIC/SCHEMAS/STATE_CURRENT according to target layer
