p2a_overall_rank,security_id,stock_code_5d,security_name,candidate_tier,candidate_status,as_of_date,primary_sleeve,valuation_support_state,thesis_strength,investment_thesis,principal_falsifier,monitor_triggers,ah_pair_status,ah_relative_value_direction,h_discount_to_a_pct,material_confidence_cap_count,bounded_confidence_cap_count,p3_1_proposal_state,formal_candidate_graduation,portfolio_allocation_authorized,simulation_admission_authorized,real_account_admission_authorized,orders_created,trade_authority
11,HKEX:02888,02888,STANCHART,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: ACTIVE_EVENT_REQUIRES_MONITORING.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | Next results/guidance release or reliable consensus-revision update. | Finance-control issues, capital-policy change, additional senior turnover or material reporting transition problems.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
12,HKEX:01997,01997,WHARF REIC,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=RECOVERY_WATCH; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: 2026 interim results provide current positive underlying earnings and capital-return evidence.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Board independence, committee composition and subsequent governance effectiveness evidence..","New issuer disclosure or material company-specific event. | Hong Kong leasing/rent trend, disposal completion, gearing path, property valuations and payout sustainability. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
14,HKEX:00002,00002,CLP HOLDINGS,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: ROUTINE_RESULTS_CYCLE_TRIGGER.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Actual results and surprise magnitude..,"Results publication following the board meeting. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
15,HKEX:00966,00966,CHINA TAIPING,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Board independence, committee composition and subsequent governance effectiveness evidence..","Formal interim/final result and management explanation of profit drivers. | New issuer disclosure or material company-specific event. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
16,HKEX:09992,09992,POP MART,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=QUALITY_COMPOUNDER remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: PRIMARY_EVIDENCE_COMPLETE.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New issuer disclosure or material company-specific event. | Next results/guidance release or reliable consensus-revision update. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
17,HKEX:00293,00293,CATHAY PAC AIR,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: RECURRING_OPERATING_CATALYST_SERIES.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Trend versus prior period, margin/earnings translation and management guidance..","Next operating update and formal results. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
18,HKEX:01368,01368,XTEP INT'L,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=HIGH_DIVIDEND_VALUE remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: RECURRING_OPERATING_CATALYST_SERIES.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Trend versus prior period, margin/earnings translation and management guidance..","Next operating update and formal results. | Next results/guidance release or reliable consensus-revision update. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
19,HKEX:00270,00270,GUANGDONG INV,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: Disposal of 35% equity interest in GD AEON.,Principal downside/falsifier: a new adverse issuer disclosure that invalidates the accepted CATALYST finding.,"Receipt of full consideration, equity-transfer certificate/business-registration completion, or unexpected valuation/accounting adjustment. | H1 2026 results/guidance or reliable dated consensus-revision evidence. | First Deloitte audit, any qualified opinion/control issue, or unexpected further auditor change.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,0,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
21,HKEX:03698,03698,HUISHANG BANK,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | New issuer disclosure or material company-specific event. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
22,HKEX:02666,02666,UNI MEDICAL,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted EARNINGS_EXPECTATION_REVISION evidence is mixed and requires disciplined monitoring: CURRENT_MIXED_OPERATING_EVIDENCE_NO_CONSENSUS_REVISION.,Principal downside/falsifier: GOVERNANCE_VALUE_TRAP negative finding — CONNECTED_CAP_BREACH_WITH_DISCLOSED_REMEDIATION.,"New company-specific catalyst disclosure. | Interim results, management guidance or material change in hospital profitability/asset quality. | Any repeated cap exceedance, regulatory action, adverse auditor/INED finding or materially larger connected exposure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
23,HKEX:00288,00288,WH GROUP,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=HIGH_DIVIDEND_VALUE remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
24,HKEX:02356,02356,DAHSING BANKING,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=QUALITY_COMPOUNDER; accepted GOVERNANCE_VALUE_TRAP evidence is mixed and requires disciplined monitoring: AUDITOR_CHANGE_OR_AUDIT_GOVERNANCE_EVENT.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Current-period results/guidance or reliable dated consensus revisions..,"New company-specific catalyst disclosure. | Next current-period results/guidance or consensus-revision update. | Auditor transition disclosures, qualified opinion/control finding, or additional audit-committee change.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
26,HKEX:00006,00006,POWER ASSETS,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=DEFENSIVE_STABILITY; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next current-period results/guidance or consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
27,HKEX:00003,00003,HK & CHINA GAS,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Current-period results/guidance or reliable dated consensus revisions..,"New company-specific catalyst disclosure. | Next current-period results/guidance or consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
28,HKEX:00762,00762,CHINA UNICOM,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=HIGH_DIVIDEND_VALUE remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
29,HKEX:03968,03968,CM BANK,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",TRUE_AH_PAIR,H_PREMIUM_TO_A,-7.9203,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
30,HKEX:06127,06127,JOINN,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=RECOVERY_WATCH; accepted EARNINGS_EXPECTATION_REVISION evidence is mixed and requires disciplined monitoring: Q1_RECOVERY_WITH_EARNINGS_QUALITY_CAVEAT.,"Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Confirm interim core operating margin, cash conversion and whether order/backlog growth converts into laboratory-services profitability..","New company-specific catalyst disclosure. | H1 results, core laboratory-services margin, cash flow, order conversion or another explicit profit warning/alert. | New connected transaction, cap increase, independent-board objection or material completion update.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,113.7876,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
31,HKEX:06181,06181,LAOPU GOLD,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Pricing/fairness basis, independent-board opinion, transaction caps, economic materiality and recurring exposure..","Formal interim/final result and management explanation of profit drivers. | New issuer disclosure or material company-specific event. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
32,HKEX:00019,00019,SWIRE PACIFIC A,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: EVENT_LARGELY_COMPLETED_LIMITED_FORWARD_CATALYST.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Post-completion economic impact and next unresolved event..,"Post-completion financial impact or new corporate action. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
33,HKEX:00023,00023,BANK OF E ASIA,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=RECOVERY_WATCH; accepted GOVERNANCE_VALUE_TRAP evidence is mixed and requires disciplined monitoring: RELATED_PARTY_OR_CONNECTED_TRANSACTION_REVIEW_REQUIRED.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Actual results and surprise magnitude..,"Results publication following the board meeting. | Next current-period results/guidance or consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
34,HKEX:02319,02319,MENGNIU DAIRY,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=TREND_LIQUIDITY; accepted CATALYST evidence is positive: CAPITAL_RETURN_SIGNAL.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Repurchase scale, pace, valuation discipline and cancellation/treasury treatment..","Material acceleration/cessation of buybacks or capital-return policy change. | Next results/guidance release or reliable consensus-revision update. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
35,HKEX:00008,00008,PCCW,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=DEFENSIVE_STABILITY; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next current-period results/guidance or consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
36,HKEX:06066,06066,CSC,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Pricing/fairness basis, independent-board opinion, transaction caps, economic materiality and recurring exposure..","Formal interim/final result and management explanation of profit drivers. | New issuer disclosure or material company-specific event. | New connected transaction, cap increase, independent-board objection or material completion update.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,155.8093,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
37,HKEX:03988,03988,BANK OF CHINA,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=TREND_LIQUIDITY; accepted GOVERNANCE_VALUE_TRAP evidence is mixed and requires disciplined monitoring: RELATED_PARTY_OR_CONNECTED_TRANSACTION_REVIEW_REQUIRED.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,27.455,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
