p2a_overall_rank,security_id,stock_code_5d,security_name,transition_as_of_date,from_state,p3_1_proposal_state,to_state,transition_action,formal_candidate_member,formal_candidate_graduation,transition_reason,a_share_candidate_mutation,simulation_mutation,real_account_mutation,orders_created,trade_authority
52,HKEX:03311,03311,CHINA STATE CON,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
53,HKEX:00992,00992,LENOVO GROUP,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
54,HKEX:00939,00939,CCB,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
55,HKEX:00917,00917,QUNABOX GROUP,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
56,HKEX:02331,02331,LI NING,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
57,HKEX:00788,00788,CHINA TOWER,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
58,HKEX:00386,00386,SINOPEC CORP,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
59,HKEX:09696,09696,TIANQI LITHIUM,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
60,HKEX:09911,09911,NEWBORNTOWN,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
61,HKEX:06186,06186,CHINA FEIHE,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
62,HKEX:01208,01208,MMG,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
63,HKEX:01186,01186,CHINA RAIL CONS,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
64,HKEX:02687,02687,ABLE DIGITAL,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
65,HKEX:02157,02157,LEPU BIO,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
66,HKEX:03759,03759,PHARMARON,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
67,HKEX:02313,02313,SHENZHOU INTL,2026-08-07,NOT_HK_CANDIDATE,HOLD_RETAINED_INVESTMENT_BLOCKER,BLOCKER_MONITOR,HOLD_OUTSIDE_CANDIDATE,False,False,P2B Final retained blocker is preserved; no Phase-3 rule can waive it.,False,False,False,0,NONE
68,HKEX:00371,00371,BJ ENT WATER,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
69,HKEX:01364,01364,GUMING,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
70,HKEX:06990,06990,SKB BIO,2026-08-07,NOT_HK_CANDIDATE,DEFER_RESEARCH_MONITOR,RESEARCH_MONITOR,HOLD_OUTSIDE_CANDIDATE,False,False,one_or_more_decision_rules_failed,False,False,False,0,NONE
71,HKEX:01044,01044,HENGAN INT'L,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
72,HKEX:06110,06110,TOPSPORTS,2026-08-07,NOT_HK_CANDIDATE,HOLD_RETAINED_INVESTMENT_BLOCKER,BLOCKER_MONITOR,HOLD_OUTSIDE_CANDIDATE,False,False,P2B Final retained blocker is preserved; no Phase-3 rule can waive it.,False,False,False,0,NONE
73,HKEX:03328,03328,BANKCOMM,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
74,HKEX:02099,02099,CHINAGOLDINTL,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
75,HKEX:03339,03339,LONKING,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_CORE_CANDIDATE,HK_CANDIDATE_CORE,ADMIT_CORE,True,True,"All applicable rules pass with supportive valuation, positive company evidence and no retained/material/bounded confidence cap.",False,False,False,0,NONE
76,HKEX:00392,00392,BEIJING ENT,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
77,HKEX:02799,02799,CITIC FAMC,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
