symbol,name,thesis_version,metric,category,prove_condition,kill_condition,threshold_origin,threshold_approval_status,latest_status,latest_evidence_id,action_if_proved,action_if_warning,action_if_killed,automatic_state_mutation,owner_role,authority,trade_authority,prove_kill_id,semantic_hash
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,cash flow,CASH_QUALITY,"Recurring cash generation reconciles to reported earnings and covers the relevant dividend, capex or working-capital burden.",Recurring cash conversion remains weak or cannot be reconciled to reported earnings in consecutive official observations.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-002396.SZ-03-9793b0fee8c7,9793b0fee8c7cf81834e5795fc789a25a3534627bc9eed0b24f0e9735314bfc5
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,non-recurring gain share,QUALITY_OF_EARNINGS,Core recurring operating earnings explain the majority of reported profit and reconcile to cash generation.,"Headline profit depends materially on investment income, non-recurring items or minority-interest economics that are not reconciled.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-002396.SZ-04-3240d79cbc78,3240d79cbc78c956c3cafd2465c0422ad8d3283c4ff5f2352b0fb01beb2fb0cc
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,minority interests,MINORITY_INTEREST_ECONOMICS,The economics attributable to listed-company shareholders are explicitly reconciled after minority interests.,Growth is concentrated in subsidiaries while listed-company attributable economics remain unclear or deteriorate.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-002396.SZ-05-b1a618450d2a,b1a618450d2ac7d8ab8a1c3bf207ed13149facc3616729b1b5cb58c0d9d7685c
300308.SZ,中际旭创,FMDL4D-TV1-20260717,quarterly high-speed product mix,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-300308.SZ-01-2babf33a67ec,2babf33a67ec89e3ef948f57a106dcbfb8017d321f095042f3c09019cdf8c0ce
300308.SZ,中际旭创,FMDL4D-TV1-20260717,top-customer concentration,CUSTOMER_CONCENTRATION,Demand is supported by multiple customers or programs and concentration risk is stable or falling.,"Dependence on a single customer or program rises while order visibility, margin or cash conversion weakens.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-300308.SZ-02-dc212213466d,dc212213466d2e213800e3e40354d14e201dce647071460ef2ba40e17c9863b4
300308.SZ,中际旭创,FMDL4D-TV1-20260717,gross margin,MARGIN_OR_YIELD,"The reported margin or yield is stable or improving and the change is explained by product mix, pricing or operating efficiency.","The reported margin or yield deteriorates without a temporary, evidence-backed explanation.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-300308.SZ-03-d3281aed048a,d3281aed048acd7cd566c7fbaba8cad5c695ed602c320c6aeb7c3cac7fc3e3b4
300308.SZ,中际旭创,FMDL4D-TV1-20260717,capex and inventory,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-300308.SZ-04-3b044a68cfbf,3b044a68cfbf0d9ec9a62f771f9b7caecb4222f36a8ce4a108bae616e5bcd1da
300308.SZ,中际旭创,FMDL4D-TV1-20260717,hyperscaler capex indicators,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-300308.SZ-05-c8dcaaff83b2,c8dcaaff83b29411545a188243a80df830b4a3be3cbb6a8a44e4b4a3a90ace3f
600018.SH,上港集团,FMDL4D-TV1-20260717,container throughput,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600018.SH-01-0d4a549ef914,0d4a549ef91491b0b3b393137c6073f11d5d9e0a54122132696aa3d27bd0df92
600018.SH,上港集团,FMDL4D-TV1-20260717,core port margin,MARGIN_OR_YIELD,"The reported margin or yield is stable or improving and the change is explained by product mix, pricing or operating efficiency.","The reported margin or yield deteriorates without a temporary, evidence-backed explanation.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600018.SH-02-8b1d96a85312,8b1d96a8531240a5f48d7810a73601f844889fd333b527ae16321eb969c9570c
600018.SH,上港集团,FMDL4D-TV1-20260717,investment-income share,QUALITY_OF_EARNINGS,Core recurring operating earnings explain the majority of reported profit and reconcile to cash generation.,"Headline profit depends materially on investment income, non-recurring items or minority-interest economics that are not reconciled.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600018.SH-03-7441f4bd780d,7441f4bd780d38a1ebef7b8a61506dda9c09e4e554899c781395dc4f9fc9c98e
600018.SH,上港集团,FMDL4D-TV1-20260717,operating cash flow,CASH_QUALITY,"Recurring cash generation reconciles to reported earnings and covers the relevant dividend, capex or working-capital burden.",Recurring cash conversion remains weak or cannot be reconciled to reported earnings in consecutive official observations.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600018.SH-04-84aee7eb80b2,84aee7eb80b25df832669591ff32d7d963f8bba8ab91d77d02e2ad327c147f87
600018.SH,上港集团,FMDL4D-TV1-20260717,dividend payout,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600018.SH-05-8a67031f45ba,8a67031f45ba964d6146314b8753299904ac9444da88609a36226d926a6a4656
600900.SH,长江电力,FMDL4D-TV1-20260717,generation and utilization hours versus long-run normal,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600900.SH-01-8e74482f7f08,8e74482f7f081c8fe64152caf2e7fc4a31bc64a74927e8dabeeee34faa80d506
600900.SH,长江电力,FMDL4D-TV1-20260717,operating cash flow versus dividends,CASH_QUALITY,"Recurring cash generation reconciles to reported earnings and covers the relevant dividend, capex or working-capital burden.",Recurring cash conversion remains weak or cannot be reconciled to reported earnings in consecutive official observations.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600900.SH-02-3652fbe027e7,3652fbe027e7b238ceecd83fd168a9bc33381a1af8cfeae5ebe99b903f559b69
600900.SH,长江电力,FMDL4D-TV1-20260717,net debt and interest burden,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600900.SH-03-290da6bdbace,290da6bdbacee01db58a280b5a6a801333ffd3fdee8099b0d0d085a84b423598
600900.SH,长江电力,FMDL4D-TV1-20260717,realized power price,VALUATION_AND_EXPECTATIONS,A timestamped current price clears an explicit base/bear/bull scenario with acceptable downside under the approved hurdle.,The normalized bear case or expectations embedded in price fails the approved downside hurdle.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600900.SH-04-43328e18229c,43328e18229c4d6f797f66692bfd59c4d36f9ef10f9d82057309aef53e921dd3
600900.SH,长江电力,FMDL4D-TV1-20260717,dividend coverage,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-600900.SH-05-669a0d1b00e1,669a0d1b00e1cbecf3ebbe61af223f15f0e37841ee972b3a3bd9b832df18ed3b
