rule_id,domain,final_status,target_module,source_file,source_layer,audit_status,priority,resolution,executor,user_decision_required,schema_version
STR-002,Objective,ACTIVE,investment_os_runtime/10_CORE_STATIC/00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,95_QUALITY_INVESTMENT_SELECTION_SYSTEM.md / 100_REAL_ACCOUNT_STEADY_COMPOUNDING_GATE.md,REFERENCE_ARCHIVE,MERGE,P0,抽取商业质量、成长持续性、估值和账户适配的稳定原则。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-003,Account,ACTIVE,investment_os_runtime/10_CORE_STATIC/00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,03_INVESTMENT_OBJECTIVE_AND_ACCOUNT_POLICY.md,ACTIVE_KERNEL,KEEP,P1,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-004,Cash,ACTIVE,investment_os_runtime/10_CORE_STATIC/00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,03_INVESTMENT_OBJECTIVE_AND_ACCOUNT_POLICY.md / 06_PORTFOLIO_RISK_POSITION_STANDARD.md,ACTIVE_KERNEL,KEEP,P0,永久保留并清除所有旧固定现金目标残留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-005,Cash,ACTIVE,investment_os_runtime/10_CORE_STATIC/00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,07_CAPITAL_MIGRATION_AND_REAL_ACCOUNT_GATE.md,ACTIVE_KERNEL,KEEP,P1,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-006,Allocation,DEPRECATED_SUCCESSOR_BOUND,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,38_ASSET_ALLOCATION_POOL_CONSTRUCTION_STANDARD.md,REFERENCE,DEPRECATE,P0,移入历史政策，不作为Current配置约束。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-007,Allocation,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,target_allocation.schema.json,SCHEMA,REPAIR,P1,支持目标区间、无目标桶、执行现金排除和政策有效期。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-008,Separation,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,03_INVESTMENT_OBJECTIVE_AND_ACCOUNT_POLICY.md,ACTIVE_KERNEL,KEEP,P0,保留并扩展明确状态域ID。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-009,Simulation,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,03_INVESTMENT_OBJECTIVE_AND_ACCOUNT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,定义模拟为验证证据之一，并区分迁移路径与直接真实账户研究路径。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-010,MarketScope,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,FMDL7 market capability registry,GITHUB,MISSING,P0,纳入市场范围与权限标准。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-011,Method,ACTIVE,investment_os_runtime/10_CORE_STATIC/00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,N/A,MISSING,MISSING,P1,建立Hybrid Research & Decision原则。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-012,CrossMarket,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,FMDL7 Final,GITHUB,MISSING,P1,并入评分与市场边界规则。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-001,Evidence,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,12_DATA_REFRESH_AND_RESEARCH_COMPLETION_STANDARD.md,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-002,MarketData,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,16_FULL_MARKET_DATA_INTERFACE_STANDARD.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P0,保留门禁，改为统一Market Capability Registry。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-003,DataQuality,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,16_FULL_MARKET_DATA_INTERFACE_STANDARD.md,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-004,Freshness,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,engine_config.json / 14_OPERATIONS,ENGINE_ACTIVE,REPAIR,P1,采用FMDL7D域级Staleness Policy Registry。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-005,Refresh,DEPRECATED_SUCCESSOR_BOUND,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,12_DATA_REFRESH_AND_RESEARCH_COMPLETION_STANDARD.md,ACTIVE_KERNEL,DEPRECATE,P0,以全市场、持仓、候选和事件四类刷新标准替换。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-006,Refresh,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,N/A,MISSING,MISSING,P0,定义刷新频率、晋级、LKG和阻断。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-007,Events,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,N/A,MISSING,MISSING,P0,建立Event Registry、Evidence Envelope和Impact Route。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-008,PIT,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,FMDL3 accepted policies,GITHUB,MERGE,P0,并入Evidence和Market Bindings。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-009,Identity,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,FMDL7A/B,GITHUB,MISSING,P1,建立Security Identity与Duplication标准。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-010,Recovery,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,FMDL7 Last-success/LKG,GITHUB,MERGE,P0,并入Recovery与Publication标准。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-011,Evidence,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,15_EVIDENCE_AND_SOURCE_STANDARD.md,ARCHIVE,MERGE,P0,恢复为精简Evidence Standard。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
DAT-012,History,ARCHIVED_NO_LIVE_AUTHORITY,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,HISTORICAL_DYNAMIC_FACTS_ARCHIVE_INDEX.md,REFERENCE,ARCHIVE,P2,保留历史索引，断开Current调用。,RECOVERY_ARCHIVE,NO,1.0.0
RES-001,Research,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,05_RESEARCH_AND_CANDIDATE_STANDARD.md,ACTIVE_KERNEL,REPAIR,P0,合并30/32/95/96/106中的稳定字段。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-002,Quality,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,96_OWNER_QUALITY_SCORECARD.md,REFERENCE,MERGE,P1,保留维度与一票否决，数值评分改为可选诊断。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-003,Valuation,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,32_VALUATION_EXPECTATION_AND_MARGIN_STANDARD.md / 14_VALUATION...,REFERENCE_ARCHIVE,MERGE,P0,建立正式Valuation & Expectation Standard。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-004,Thesis,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,05_RESEARCH... / public_equity_handoff schema,ACTIVE_SCHEMA,KEEP_WITH_CLARIFICATION,P1,扩展Research Object Schema。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-005,Catalyst,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,public_equity_research_handoff.schema.json,SCHEMA,REPAIR,P1,新增Catalyst/Event对象、窗口和影响字段。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-006,Evidence,ACTIVE,investment_os_runtime/10_CORE_STATIC/02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,05_RESEARCH...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-007,ETFAlternative,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,97_ETF_ALTERNATIVE_AND_BENCHMARK_TEST.md,REFERENCE,KEEP_WITH_CLARIFICATION,P1,保留复杂度与机会成本比较，分离短期相对收益Gate。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-008,Validation,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,09_DECISION_PIPELINE / engine_config,ACTIVE_ENGINE,REPAIR,P0,按路径区分：模拟迁移必须验证；直接真实研究路径可基于完整研究、估值、风险和用户批准。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,YES,1.0.0
RES-009,Scoring,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,12/34/47/96/105 legacy/reference,MULTIPLE,REPAIR,P0,统一为研究维度评分+硬Gate+置信度；禁止单一总分自动决策。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-010,Scoring,DEPRECATED_SUCCESSOR_BOUND,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,100_REAL_ACCOUNT_STEADY_COMPOUNDING_GATE.md,ARCHIVE,DEPRECATE,P1,保留严格性原则，阈值转为策略Profile可配置项。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,YES,1.0.0
RES-011,Authority,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,15_PUBLIC_EQUITY...,ACTIVE_KERNEL,KEEP,P0,永久保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-012,Workflow,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,15_PUBLIC_EQUITY...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P2,改为能力型Workflow Registry，插件/工具只是可替换执行器。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-013,Promotion,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,17_FMDL4...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-014,Research,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,106_RESEARCH_CARD...,ARCHIVE,MERGE,P0,抽取字段和绑定逻辑，消除过时文件编号依赖。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
RES-015,Review,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,N/A,MISSING,MISSING,P1,建立Quarterly Research Refresh Standard。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-001,Lifecycle,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,status_enum.json,SCHEMA,REPAIR,P0,拆分Research Lifecycle、Candidate Lifecycle和Account Admission状态机。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-002,Lifecycle,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,N/A,MISSING,MISSING,P0,在WP1-5建立统一Candidate Governance。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-003,Baseline,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,98_CANDIDATE_POOL_RACE_TRACKING_STANDARD.md,ARCHIVE,MERGE,P0,恢复Entry Baseline、Benchmark、Window和Outcome字段。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-004,Review,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,05_RESEARCH...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,绑定统一Lifecycle。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-005,Race,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,98_CANDIDATE_POOL_RACE_TRACKING_STANDARD.md,ARCHIVE,MERGE,P1,采用基本面兑现+估值+相对表现三类证据。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-006,Promotion,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,15/17 standards,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-007,Capacity,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,37_MANAGED_RESEARCH_UNIVERSE...,REFERENCE,KEEP_WITH_CLARIFICATION,P2,保留容量上限机制，不冻结旧数值。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-008,Attribution,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,N/A,MISSING,MISSING,P0,纳入月度/年度Candidate Outcome Attribution。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-009,Domains,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,03/05/17 standards,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-010,Reentry,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,FMDL4/FMDL5/FMDL7,GITHUB_BINDINGS,MERGE,P1,并入Candidate Governance。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
CAN-011,Mutation,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,17_FMDL4...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P0,提升为永久State Mutation规则。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-001,Ledger,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,08_SIMULATION_ATTRIBUTION...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-002,Ledger,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,08_SIMULATION_ATTRIBUTION...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-003,Experiment,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,99_SIMULATION_LAB_PROTOCOL.md,ARCHIVE,MERGE,P0,建立轻量Simulation Experiment Schema。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-004,Lifecycle,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,99_SIMULATION_LAB_PROTOCOL.md,ARCHIVE,MERGE,P1,重建Simulation Admission状态机。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-005,Migration,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,03/08/17 standards,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-006,Risk,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,08_SIMULATION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P2,保留一般规则，案例移入历史Lesson。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-007,Validation,ACTIVE,investment_os_runtime/10_CORE_STATIC/03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,08_SIMULATION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,作为实验评估窗口而非自动动作阈值。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-008,Sizing,ACTIVE_CONFIGURABLE_POLICY_VALUE_DEFERRED,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,102_PORTFOLIO_WEIGHT... / 99_SIM...,ARCHIVE,USER_DECISION_REQUIRED,P2,WP1-4提交可配置Profile方案。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,YES,1.0.0
SIM-009,Memo,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,17_PRE_TRADE_MEMO_STANDARD.md,ARCHIVE,KEEP_WITH_CLARIFICATION,P2,建立Simulation Memo与Real Pre-trade Memo两级模板。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-010,StageRule,ARCHIVED_NO_LIVE_AUTHORITY,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,runtime_result / observation files,STATE_HISTORY,ARCHIVE,P1,移入State/History，不进入新CORE。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
SIM-011,Attribution,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,08/13 standards,ACTIVE_KERNEL,KEEP,P0,保留并扩展Candidate对照。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-001,Portfolio,ACTIVE,investment_os_runtime/10_CORE_STATIC/06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,06_PORTFOLIO_RISK_POSITION_STANDARD.md,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-002,Portfolio,ACTIVE,investment_os_runtime/10_CORE_STATIC/06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,06_PORTFOLIO...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,扩展Decision Object。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-003,Portfolio,ACTIVE,investment_os_runtime/10_CORE_STATIC/06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,102_PORTFOLIO_WEIGHT...,ARCHIVE,MERGE,P0,恢复三类权重定义。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-004,Risk,ACTIVE_CONFIGURABLE_POLICY_VALUE_DEFERRED,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,100/102 legacy,ARCHIVE,USER_DECISION_REQUIRED,P1,WP1-4提交范围Profile与集中度框架。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,YES,1.0.0
