rule_id,source_file,source_layer,audit_status,target_module,rescue_status,source_summary
DAT-010,FMDL7 Last-success/LKG,GITHUB,MERGE,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,失败或陈旧运行不得替换Current，保留LKG。
DAT-011,15_EVIDENCE_AND_SOURCE_STANDARD.md,ARCHIVE,MERGE,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,证据来源、质量、日期和缺失降级的详细标准。
DAT-012,HISTORICAL_DYNAMIC_FACTS_ARCHIVE_INDEX.md,REFERENCE,ARCHIVE,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,NOT_ACTIVE,历史动态事实归档索引。
RES-001,05_RESEARCH_AND_CANDIDATE_STANDARD.md,ACTIVE_KERNEL,REPAIR,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,研究卡覆盖商业模式、行业、护城河、财务、管理层、估值、ETF替代和反证。
RES-002,96_OWNER_QUALITY_SCORECARD.md,REFERENCE,MERGE,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,能力圈、长期需求、护城河、财务质量、管理层、可持续性和证据质量。
RES-003,32_VALUATION_EXPECTATION_AND_MARGIN_STANDARD.md / 14_VALUATION...,REFERENCE_ARCHIVE,MERGE,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,隐含预期、Bull/Base/Bear、下行空间和安全边际。
RES-004,05_RESEARCH... / public_equity_handoff schema,ACTIVE_SCHEMA,KEEP_WITH_CLARIFICATION,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Thesis、kill condition和反证条件。
RES-005,public_equity_research_handoff.schema.json,SCHEMA,REPAIR,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,catalyst_status只有确认/推断/无/不足。
RES-007,97_ETF_ALTERNATIVE_AND_BENCHMARK_TEST.md,REFERENCE,KEEP_WITH_CLARIFICATION,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,主动个股需与ETF/基金/现金替代比较。
RES-008,09_DECISION_PIPELINE / engine_config,ACTIVE_ENGINE,REPAIR,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,canonical_race_gate与20/60/120赛马作为所有真实账户技术硬Gate。
RES-009,12/34/47/96/105 legacy/reference,MULTIPLE,REPAIR,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,三重评分、四类派生评分、Owner Quality 100分、Factor Score等并存。
RES-010,100_REAL_ACCOUNT_STEADY_COMPOUNDING_GATE.md,ARCHIVE,DEPRECATE,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,NOT_ACTIVE,真实账户个股必须85/85/80及60–120日验证。
RES-012,15_PUBLIC_EQUITY...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,按idea-generation、tearsheet、DCF等插件工作流路由。
RES-014,106_RESEARCH_CARD...,ARCHIVE,MERGE,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,研究卡、评分、动作标签、复盘触发和写回绑定。
RES-015,N/A,MISSING,MISSING,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,财报季/季度对Candidate研究卡和估值进行强制重估。
CAN-001,status_enum.json,SCHEMA,REPAIR,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,ARCHIVED/RESEARCH_RESERVE/CORE_TRACKING/ACTIVE_MEMO/SIM...生命周期。
CAN-002,N/A,MISSING,MISSING,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Universe → Longlist → Active Research → Candidate Core → Ready-to-Buy/Shadow/Rejected。
CAN-003,98_CANDIDATE_POOL_RACE_TRACKING_STANDARD.md,ARCHIVE,MERGE,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,候选必须记录入池日期、价格、基准、理由和20/60/120结果。
CAN-004,05_RESEARCH...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,缺估值、基准、价格新鲜度或反证时降级。
CAN-005,98_CANDIDATE_POOL_RACE_TRACKING_STANDARD.md,ARCHIVE,MERGE,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,候选赛马和升级/降级。
CAN-007,37_MANAGED_RESEARCH_UNIVERSE...,REFERENCE,KEEP_WITH_CLARIFICATION,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,研究宇宙目标规模和配额。
CAN-008,N/A,MISSING,MISSING,08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Candidate相对基准、晋级命中率、误选漏选和研究资源回报。
CAN-010,FMDL4/FMDL5/FMDL7,GITHUB_BINDINGS,MERGE,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,研究毕业或港股研究对象必须人工重入审查。
CAN-011,17_FMDL4...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,状态变化必须append-only、source-backed并独立验证。
SIM-003,99_SIMULATION_LAB_PROTOCOL.md,ARCHIVE,MERGE,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,模拟交易需假设、基准、最大损失、反证和复核窗口。
SIM-004,99_SIMULATION_LAB_PROTOCOL.md,ARCHIVE,MERGE,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Shadow / Probe / Validation分层。
SIM-006,08_SIMULATION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,盈利且仓位合理不得仅因行业归类机械退出。
SIM-007,08_SIMULATION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,03_RESEARCH_VALUATION_AND_SCORE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,20/60/120日相对收益、回撤、波动和命中率。
SIM-008,102_PORTFOLIO_WEIGHT... / 99_SIM...,ARCHIVE,USER_DECISION_REQUIRED,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Probe 1%–3%、Validation 3%–6%、Core Test 6%–10%。
SIM-009,17_PRE_TRADE_MEMO_STANDARD.md,ARCHIVE,KEEP_WITH_CLARIFICATION,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,模拟盘首次买入或扩仓也需交易前备忘录。
POR-002,06_PORTFOLIO...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,调整需说明当前权重、目标区间、资金来源、最大损失、相关性、替代、退出和复核。
POR-003,102_PORTFOLIO_WEIGHT...,ARCHIVE,MERGE,06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,研究权重、模拟权重和真实资金权重分离。
POR-004,100/102 legacy,ARCHIVE,USER_DECISION_REQUIRED,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,真实个股初始1%–2%、未复盘不超3%、绝对上限5%。
POR-005,103_EXIT_AND_RISK_CONTROL_SYSTEM.md,ARCHIVE,MERGE,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Thesis、估值、ETF替代、组合超限、机会成本、归因和账户适配退出。
POR-007,07_CAPITAL_MIGRATION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,全部技术Gate通过只允许进入预交易备忘录，用户确认后才有执行授权。
POR-008,100_REAL_ACCOUNT... / 09 runtime,ARCHIVE_ACTIVE_CONFLICT,REPAIR,06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,个股真实账户路径要求Simulation/Shadow 60–120日；ETF路径无需模拟。
POR-009,FMDL7A cross-market review,GITHUB,MISSING,06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,重复ETF、A/H和跨市场暴露需组合复核。
POR-010,18_POSITION_CHANGE_POLICY.md,ARCHIVE,MERGE,07_DECISION_PRETRADE_CONFIRMATION_AND_WRITEBACK.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,交易、候选、Thesis和风险变化分层写回STATE/EVIDENCE。
POR-011,10_RESPONSE_PRETRADE... + 17_PRE_TRADE...,ACTIVE_ARCHIVE,MERGE,07_DECISION_PRETRADE_CONFIRMATION_AND_WRITEBACK.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,真实交易前必须形成预交易备忘录并由用户确认。
POR-013,19_INVESTMENT_REVIEW_STANDARD.md,ARCHIVE,MERGE,04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,过程与结果四象限复盘、错误分类和写回。
ATT-003,13_ATTRIBUTION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,输出账本、证券/袖套归因、NAV/回撤、残差、错误图和校准登记。
ATT-004,FMDL7C limitation,GITHUB,MERGE,08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,没有Entry Baseline/Benchmark/Window时不得计算Candidate Alpha。
ATT-005,13_ATTRIBUTION...,ACTIVE_KERNEL,REPAIR,08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,只有损失机制有证据时才可修改模拟风险/入场/退出规则。
ATT-007,13/100/101,MIXED,REPAIR,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,真实迁移要求模拟验证或连续两月Stock Alpha。
ATT-008,N/A,MISSING,MISSING,08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,年度规则有效性、误选漏选、换手、成本和数据源审计。
OPS-001,14_PRODUCTION...,ACTIVE_KERNEL,REPAIR,09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,日常按触发更新、周度检查、月度Review、60交易日评估。
OPS-002,21/40/107 reference/archive,REFERENCE_ARCHIVE,MERGE,09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,周度、月度、季度和年度复盘议程。
OPS-003,N/A,MISSING,MISSING,09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,E0–E5事件等级、去重、证据、影响、路由和升级。
OPS-004,FMDL7D workflow,GITHUB,REPAIR,09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,定时cron构建/验证/artifact，只有push main才发布Current。
OPS-005,14_PRODUCTION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,首次晋级后至少60个A股交易日观察。
OPS-006,FMDL7E clean-room,GITHUB,MERGE,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,无对话记忆恢复、失败注入、LKG和Package identity。
OPS-008,MASTER_PLAN_AND_STATUS_CURRENT,NEW_EXTERNAL,MERGE,09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,工作包1–7、步骤状态、变更和下一入口持续登记。
ENG-001,11_EXECUTABLE_DECISION_ENGINE_STANDARD.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,确定性程序、自动阻断、回归和原子晋级。
ENG-002,11_EXECUTABLE... / engine source,ACTIVE_ENGINE,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,只读取Active Kernel、STATE Manifest和EVIDENCE Manifest。
ENG-003,CORE_STATIC files and schemas,ALL_CORE,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,schema版本同时存在3.4.0、3.4.1、3.4.2、3.4.3，而Release 8宣称runtime 3.5.0。
ENG-004,CORE embedded engine + separate Production Engine,RELEASE8,MERGE,06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,两份引擎源码、配置和测试字节完全相同。
ENG-005,run_regression_tests.py,ENGINE,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Release 8对自身CORE/STATE/EVIDENCE重放。
ENG-006,engine replay,ENGINE_STATE,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,运行在VALIDATE_SCHEMA阶段被230个FATAL阻断。
ENG-007,test_engine_regression.py,ENGINE,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,测试固定期待P4旧source package、旧状态名、旧schema_version和旧审批标签。
ENG-008,decision_object.schema.json,SCHEMA,KEEP_WITH_CLARIFICATION,07_DECISION_PRETRADE_CONFIRMATION_AND_WRITEBACK.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,decision、permission、execution_status分离并保留rule_trace/evidence_ids。
ENG-009,action_enum / decision schema,SCHEMA,REPAIR,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,permission包含EXECUTION_AUTHORIZED。
ENG-010,N/A,MISSING,MISSING,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Event、Candidate Entry Baseline、Research Card、Thesis、Portfolio Action和Operating Product Schema。
ENG-011,09_DECISION_PIPELINE...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,决策引擎运行不得联网。
ENG-013,30_FMDL4_INTEGRATION/*,CORE,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,FMDL4合同嵌入CORE，FMDL5-7仅在GitHub。
