research_id,symbol,name,as_of,research_version,research_stage,graduation_decision,business_model,competitive_position,owner_quality,earnings_drivers_json,catalysts_json,risks_json,variant_perception,why_now,first_rejection,what_would_make_investable,prove_kill_checks_json,decision_reason_codes_json,graduation_condition,next_workflow,evidence_ids_json,public_sources_json,source_count,screen_rank,screen_research_priority,research_status,state_mutation_authorized,authority,trade_authority,semantic_hash
FMDL4B-RSCH-002422.SZ-0dd95e8700e6472f,002422.SZ,科伦药业,2026-07-17,FMDL4B-RV1-20260717,DEEP_DIVE,DEFERRED,"Integrated pharmaceutical company with infusion products, generics and an innovative-drug platform including subsidiary pipeline assets.","Large established commercial base and meaningful innovative-drug optionality, but valuation depends on pipeline quality and economics.",Founder-led pharma group with audited filings; related pipeline economics and R&D capital allocation need asset-level review.,"[""infusion and generic profitability"", ""innovative-drug milestones and launches"", ""R&D spending"", ""licensing income"", ""manufacturing efficiency""]","[""clinical and regulatory milestones"", ""commercial launches"", ""licensing transactions""]","[""clinical failure"", ""policy and pricing pressure"", ""earnings volatility from milestones"", ""R&D intensity"", ""subsidiary valuation complexity""]","The long-term pipeline may be valuable, but 2026 Q1 core earnings declined and the current screen does not underwrite drug-level probability.","The stock screened on price behavior, while recent operating results weakened.","Assuming pipeline value without indication-level probability, economics and timing.","Drug-by-drug pipeline underwriting, normalized core earnings and valuation separation between base business and optionality.","[""core pharma margin"", ""pipeline milestones"", ""R&D spend"", ""licensing cash flows"", ""launch uptake""]","[""PIPELINE_OPTIONALITY"", ""Q1_EARNINGS_WEAKNESS"", ""ASSET_LEVEL_UNDERWRITING_REQUIRED""]",PIPELINE_AND_BASE_BUSINESS_SOTP_COMPLETE,initiating-coverage,"[""FMDL4A-EV-002422.SZ-89ce7ac393147629""]","[{""source_date"": ""2026-04-03"", ""source_id"": ""002422_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""科伦药业2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12060437&stockid=002422""}, {""source_date"": ""2026-04-29"", ""source_id"": ""002422_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""科伦药业2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12246328&stockid=002422""}]",2,11,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,0dd95e8700e6472f3b06572dc7e647f5dfdf959421e3099d46773d3bfa913bb7
FMDL4B-RSCH-603501.SH-b9f924473933f7b4,603501.SH,豪威集团,2026-07-17,FMDL4B-RV1-20260717,DEEP_DIVE,DEFERRED,"Fabless semiconductor group led by CMOS image sensors, with display, analog and distribution businesses.","Strong global image-sensor franchise with automotive and emerging-application growth, plus broad IP and product coverage.",Technology-led platform with substantial R&D; product-cycle execution and acquisition history require continued review.,"[""automotive image sensors"", ""smartphone mix"", ""emerging imaging applications"", ""gross margin"", ""R&D productivity"", ""distribution mix""]","[""automotive penetration"", ""high-end smartphone share"", ""AR/VR and machine-vision products""]","[""semiconductor cyclicality"", ""Q1 earnings decline"", ""customer and end-market concentration"", ""inventory and pricing"", ""R&D execution""]","The 2025 strategic improvement is credible, but 2026 Q1 showed a sharp profit decline that needs reconciliation.","The screen captures recovery and a reasonable semiconductor valuation relative to some AI peers, but near-term earnings weakened.",Automotive growth fails to offset consumer weakness and margins continue to decline.,"Evidence that Q1 weakness is temporary, automotive mix remains strong and normalized earnings support valuation.","[""automotive CIS revenue"", ""gross margin"", ""inventory"", ""smartphone demand"", ""R&D conversion"", ""Q2 earnings""]","[""STRONG_FRANCHISE"", ""Q1_EARNINGS_DISLOCATION"", ""CONFIRMATION_REQUIRED""]",Q2_MARGIN_AND_AUTOMOTIVE_CONFIRMATION,earnings-deep-dive,"[""FMDL4A-EV-603501.SH-bbf662d192f4776a""]","[{""source_date"": ""2026-03-31"", ""source_id"": ""603501_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""豪威集团2025年年度报告"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12038913&stockid=603501""}, {""source_date"": ""2026-04-30"", ""source_id"": ""603501_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""豪威集团2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12278848&stockid=603501""}]",2,12,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,b9f924473933f7b445ec48d4a5744b92de47f0cc47b7db06e1fbf4b080649d06
FMDL4B-RSCH-002718.SZ-41636d1af0c06149,002718.SZ,友邦吊顶,2026-07-17,FMDL4B-RV1-20260717,REJECTED,REJECTED,Manufactures and sells integrated ceilings and related home-decoration products.,"Recognized niche brand, but structurally exposed to residential renovation and property demand with limited current operating leverage.",Audited filings available; no additional governance premium is assumed.,"[""renovation demand"", ""dealer productivity"", ""product mix"", ""channel inventory""]","[""housing renovation recovery"", ""channel restructuring""]","[""structural demand weakness"", ""small earnings base"", ""channel pressure"", ""extreme trailing valuation""]",Momentum is not supported by current fundamentals.,2026 Q1 revenue and profit fell materially while trailing PE is distorted and extremely high.,Current earnings are too small and declining to support the screen signal.,A multi-quarter demand and margin recovery plus normalized valuation.,"[""same-channel sales"", ""dealer count"", ""gross margin"", ""operating cash flow""]","[""STRUCTURAL_DEMAND_RISK"", ""EARNINGS_DECLINE"", ""VALUATION_DISTORTED""]",NONE_CURRENT_REJECT,NONE,"[""FMDL4A-EV-002718.SZ-a01373881821c1a5""]","[{""source_date"": ""2026-03-31"", ""source_id"": ""002718_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""友邦吊顶2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12048068&stockid=002718""}, {""source_date"": ""2026-04-24"", ""source_id"": ""002718_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""友邦吊顶2026年第一季度报告"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12162952&stockid=002718""}]",2,13,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,41636d1af0c061496f79ae75b9186099b607dae77ea379bfbef2acf99efb6562
FMDL4B-RSCH-002396.SZ-76b5f9c557170586,002396.SZ,星网锐捷,2026-07-17,FMDL4B-RV1-20260717,INVESTMENT_CASE_READY,GRADUATED,"ICT holding and operating platform with network, communications and enterprise technology businesses, including material exposure to data-center switching.",Domestic enterprise-networking and communications franchise with subsidiary product depth and growing internet-customer datacenter exposure.,"Audited state-influenced platform; subsidiary economics, minority interests and non-operating gains require careful separation.","[""datacenter switch demand"", ""subsidiary operating profit"", ""enterprise networking"", ""working capital"", ""investment gains""]","[""internet-customer datacenter switch growth"", ""2026 H1 earnings acceleration"", ""AI network demand""]","[""holding-company complexity"", ""large working-capital outflow"", ""non-recurring gains"", ""competition"", ""valuation""]","The core datacenter-switch driver strengthened into H1, but reported profit includes meaningful non-operating contributions.","The company projected strong 2026 H1 profit growth, led by datacenter switching, after a weak Q1 bottom line.",Core operating profit does not match headline profit or working-capital consumption persists.,"Segment-level operating profit, cash conversion and a clean separation of recurring and non-recurring earnings.","[""datacenter switch revenue"", ""subsidiary margins"", ""cash flow"", ""non-recurring gain share"", ""minority interests""]","[""AI_NETWORK_EXPOSURE"", ""H1_ACCELERATION"", ""QUALITY_OF_EARNINGS_GATE""]",RECURRING_EARNINGS_AND_CASH_CONFIRMATION,earnings-deep-dive,"[""FMDL4A-EV-002396.SZ-af3347d54c6b8a72""]","[{""source_date"": ""2026-03-28"", ""source_id"": ""002396_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""星网锐捷2025年年度报告"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12033076&stockid=002396""}, {""source_date"": ""2026-04-21"", ""source_id"": ""002396_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""星网锐捷2026年第一季度报告"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12117356&stockid=002396""}, {""source_date"": ""2026-07-03"", ""source_id"": ""002396_2026_H1_PREVIEW"", ""source_type"": ""earnings_preannouncement"", ""title"": ""星网锐捷2026年半年度业绩预告"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=80082024&gather=1&id=12429192""}]",3,14,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,76b5f9c557170586c58ec0dfb8b3fd6a05a64b419ebdcf9c8e5b969e4443799f
FMDL4B-RSCH-002937.SZ-14acdfd8627f7f72,002937.SZ,兴瑞科技,2026-07-17,FMDL4B-RV1-20260717,DEEP_DIVE,DEFERRED,"Precision components and integrated injection-molding solutions for automotive electronics, smart terminals, consumer electronics and AI-server hardware.","Qualified supplier to high-end customers with manufacturing know-how, but the earnings base remains sensitive to customer programs and ramp timing.","Audited founder-led manufacturer; customer concentration, capex and convertible-bond deployment require review.","[""automotive-electronics content"", ""AI-server hardware programs"", ""customer ramps"", ""capacity utilization"", ""precision-manufacturing margins""]","[""new automotive programs"", ""AI-server component ramp"", ""overseas capacity utilization""]","[""2026 Q1 margin and profit decline"", ""customer concentration"", ""capex execution"", ""convertible-bond dilution"", ""valuation""]","End-market narratives are attractive, but current earnings do not yet confirm the valuation implied by the screen.",Revenue grew in 2026 Q1 while profit and operating cash flow weakened.,New-energy and AI exposure does not translate into sustained margin and cash growth.,"Program-level revenue attribution, margin recovery and improving free cash flow.","[""automotive revenue mix"", ""AI-server revenue"", ""gross margin"", ""cash flow"", ""capex utilization""]","[""ATTRACTIVE_EXPOSURE"", ""MARGIN_NOT_CONFIRMING"", ""PROGRAM_ATTRIBUTION_REQUIRED""]",MARGIN_AND_PROGRAM_EVIDENCE,company-tearsheet,"[""FMDL4A-EV-002937.SZ-b722aa84d3a74864""]","[{""source_date"": ""2026-04-24"", ""source_id"": ""002937_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""兴瑞科技2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12163515&stockid=002937""}, {""source_date"": ""2026-04-24"", ""source_id"": ""002937_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""兴瑞科技2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12163687&stockid=002937""}]",2,15,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,14acdfd8627f7f72061e875f24e79b6a0d3c7ace7b7c49bb431684421a1e25ec
FMDL4B-RSCH-603669.SH-cbec8cd24ec86643,603669.SH,灵康药业,2026-07-17,FMDL4B-RV1-20260717,REJECTED,REJECTED,Pharmaceutical manufacturer and distributor with a portfolio concentrated in prescription products.,Current evidence does not establish a durable growth franchise sufficient to offset weak profitability.,"Audited filings available, but delayed report timing and continued losses increase the evidence burden.","[""product sales"", ""hospital access"", ""policy pricing"", ""manufacturing utilization"", ""cost control""]","[""return to recurring profitability"", ""portfolio renewal""]","[""ongoing losses"", ""weak financial score"", ""product concentration"", ""policy pressure"", ""limited valuation support""]",Recovery-screen momentum is not backed by a credible earnings inflection.,2025 remained loss-making and the FMDL financial score is weak with low confidence.,No demonstrated path to recurring profit and cash generation.,"Multi-quarter profitability, cash generation and product-level growth evidence.","[""recurring profit"", ""operating cash flow"", ""top-product concentration"", ""gross margin""]","[""LOSS_MAKING"", ""LOW_FINANCIAL_QUALITY"", ""RECOVERY_NOT_PROVEN""]",NONE_CURRENT_REJECT,NONE,"[""FMDL4A-EV-603669.SH-d48f59947c254437""]","[{""source_date"": ""2026-04-29"", ""source_id"": ""603669_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""灵康药业2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12254857&stockid=603669""}, {""source_date"": ""2026-04-29"", ""source_id"": ""603669_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""灵康药业2026年第一季度报告"", ""url"": ""https://paper.cnstock.com/html/2026-04/29/content_2209636.htm""}]",2,16,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,cbec8cd24ec86643f89528b3a0ed98b6669dafe05a73fdc38307b8f3fbf4fae5
FMDL4B-RSCH-301206.SZ-f97bb9a45eba4156,301206.SZ,三元生物,2026-07-17,FMDL4B-RV1-20260717,DEEP_DIVE,DEFERRED,Produces erythritol and other functional sugar and sweetener products through fermentation and related manufacturing.,"Scaled domestic erythritol producer with export capability, but exposed to product pricing, overcapacity and sweetener substitution.",Audited founder-led manufacturer; capacity discipline and diversification economics require review.,"[""erythritol price and volume"", ""new sweetener products"", ""export demand"", ""corn and energy costs"", ""capacity utilization""]","[""volume recovery"", ""new-product contribution"", ""industry capacity rationalization""]","[""commodity pricing"", ""overcapacity"", ""low ROE"", ""single-product exposure"", ""trade barriers""]","Revenue recovered strongly in Q1, but profit growth lagged and returns remain low.","2026 Q1 revenue grew nearly 50%, while net profit rose only modestly.",Volume growth fails to improve unit economics and ROE.,"Sustained price/mix improvement, diversified products and higher returns on the large asset base.","[""average selling price"", ""gross margin"", ""capacity utilization"", ""new-product mix"", ""ROE""]","[""VOLUME_RECOVERY"", ""MARGIN_LAG"", ""COMMODITY_CYCLE_GATE""]",MARGIN_AND_RETURN_RECOVERY,company-tearsheet,"[""FMDL4A-EV-301206.SZ-6fc2e9722ba105b5""]","[{""source_date"": ""2026-04-29"", ""source_id"": ""301206_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""三元生物2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12253178&stockid=301206""}, {""source_date"": ""2026-04-29"", ""source_id"": ""301206_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""三元生物2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12253169&stockid=301206""}]",2,17,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,f97bb9a45eba41565bdd44274649db8c11a81dacf2c93adbbaf2ab34a660fbf2
FMDL4B-RSCH-603757.SH-7dbce3d37680df1a,603757.SH,大元泵业,2026-07-17,FMDL4B-RV1-20260717,REJECTED,REJECTED,"Manufactures household, commercial and industrial pumps, including circulation and other pump products.","Established pump manufacturer, but latest operating momentum is weak and the ownership transition raises additional uncertainty.",Audited filings available; a 2026 control change requires renewed governance and capital-allocation review.,"[""pump demand"", ""product mix"", ""export demand"", ""raw materials"", ""channel inventory""]","[""new controller strategy"", ""demand recovery""]","[""sharp earnings decline"", ""control change"", ""valuation distortion"", ""weak cash flow"", ""cyclical demand""]",The screen signal is contradicted by a severe Q1 profit decline and a changing-control situation.,2026 Q1 profit fell sharply and control-change announcements followed in July.,Current earnings and governance evidence do not support the high trailing valuation.,"Post-control-change strategy, normalized earnings and credible cash-flow recovery.","[""quarterly profit"", ""cash flow"", ""control-change terms"", ""related-party plans"", ""gross margin""]","[""EARNINGS_COLLAPSE"", ""CONTROL_CHANGE"", ""VALUATION_UNSUPPORTED""]",NONE_CURRENT_REJECT,NONE,"[""FMDL4A-EV-603757.SH-05f9a342f5c615b0""]","[{""source_date"": ""2026-04-24"", ""source_id"": ""603757_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""大元泵业2025年年度报告"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12159268&stockid=603757""}, {""source_date"": ""2026-04-29"", ""source_id"": ""603757_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""大元泵业2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12238578&stockid=603757""}, {""source_date"": ""2026-07-18"", ""source_id"": ""603757_CONTROL_CHANGE_INDEX"", ""source_type"": ""governance_event"", ""title"": ""大元泵业实际控制人变更相关公告索引"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_Bulletin.php/page_type/yjdbg.phtml?stockid=603757""}]",3,18,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,7dbce3d37680df1a8e44c2ac67fbf09843375c3feb85904e0a0b5d50dba9d020
FMDL4B-RSCH-688669.SH-6f9b4a11cdf74a77,688669.SH,聚石化学,2026-07-17,FMDL4B-RV1-20260717,REJECTED,REJECTED,"Develops and manufactures polymer materials, flame-retardant materials and related chemical products.","Broad materials portfolio, but current earnings and balance-sheet evidence do not establish a durable high-return moat.",Audited filings available; capital intensity and business complexity require higher evidence quality.,"[""chemical-product volume and spread"", ""raw materials"", ""capacity utilization"", ""product mix"", ""financing costs""]","[""spread recovery"", ""asset optimization""]","[""losses"", ""chemical-cycle volatility"", ""capital intensity"", ""working capital"", ""valuation unavailable on negative earnings""]",Momentum is a false positive because the latest quarter moved sharply into loss.,2026 Q1 revenue declined and net profit turned materially negative.,Current recurring earnings are negative.,"A sustained return to profit, balance-sheet improvement and clear segment economics.","[""segment profit"", ""gross margin"", ""operating cash flow"", ""net debt"", ""capacity utilization""]","[""Q1_LOSS"", ""FINANCIAL_QUALITY_WEAK"", ""MOMENTUM_FALSE_POSITIVE""]",NONE_CURRENT_REJECT,NONE,"[""FMDL4A-EV-688669.SH-e91c75c2ee4d6fc0""]","[{""source_date"": ""2026-04-28"", ""source_id"": ""688669_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""聚石化学2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12219147&stockid=688669""}, {""source_date"": ""2026-04-28"", ""source_id"": ""688669_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""聚石化学2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12219136&stockid=688669""}]",2,19,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,6f9b4a11cdf74a77b29ca243cca7d51a87d270e144251d7d28baaa5274d1056f
FMDL4B-RSCH-600018.SH-712c378d5627313c,600018.SH,上港集团,2026-07-17,FMDL4B-RV1-20260717,INVESTMENT_CASE_READY,GRADUATED,"Integrated port operator centered on Shanghai, with container terminals, logistics, port services and related investments.","Strategic gateway port with scale, network effects, scarce infrastructure and strong regional trade connectivity.",State-controlled infrastructure operator with audited filings; investment portfolio and non-port capital allocation need separation from core operations.,"[""container throughput"", ""tariffs and service mix"", ""port efficiency"", ""investment income"", ""global trade volumes""]","[""throughput growth"", ""service-mix improvement"", ""capital return"", ""asset monetization""]","[""global trade slowdown"", ""tariff or policy changes"", ""investment-income volatility"", ""limited growth at mature assets""]","The stock may offer infrastructure durability and valuation support, but the low shareholder-yield reading needs reconciliation with actual payout timing.","2026 Q1 revenue, profit and operating cash flow grew while trailing valuation remained modest.",Core port profit weakens and reported earnings become increasingly dependent on investments.,"Stable core throughput and margins, clean recurring-profit attribution and attractive payout-supported valuation.","[""container throughput"", ""core port margin"", ""investment-income share"", ""operating cash flow"", ""dividend payout""]","[""STRATEGIC_INFRASTRUCTURE"", ""VALUATION_SUPPORT"", ""CORE_VS_INVESTMENT_EARNINGS_GATE""]",RECURRING_PROFIT_AND_PAYOUT_CONFIRMATION,initiating-coverage,"[""FMDL4A-EV-600018.SH-35e74d8697da67e0""]","[{""source_date"": ""2026-04-01"", ""source_id"": ""600018_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""上港集团2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12050038&stockid=600018""}, {""source_date"": ""2026-04-30"", ""source_id"": ""600018_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""上港集团2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12273972&stockid=600018""}]",2,20,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,712c378d5627313c508efd5a6a87b94c8b4bbea816aa9349bb236079efeef66c
